customer_id,transaction_type,transaction_date,subscription_type,subscription_price,customer_gender,age_group,customer_country,referral_type,product,signup_date_time,cancel_date_time,transaction_year,transaction_month,subscription_duration,revenue,profit,customer_region,ltv,total_transactions,is_returning_customer,churn_status,avg_subscription_duration
C2448,initial,2020-05-01,BASIC,33,Male,25-34,Norway,facebook,prd_1,2017-01-01 10:35:09,,2020,5,,33,9.9,Norway,33,1,False,False,
C2449,initial,2020-08-01,BASIC,33,Male,45-54,Finland,Google Ads,prd_1,2017-01-01 11:39:29,2021-09-05 10:00:02,2020,8,1707.0,33,9.9,Finland,183,3,True,True,1707.0
C2449,UPGRADE,2021-07-01,PRO,75,Male,45-54,Finland,Google Ads,prd_1,2017-01-01 11:39:29,2021-09-05 10:00:02,2021,7,1707.0,75,22.5,Finland,183,3,True,True,1707.0
C2449,CHURN,2021-10-01,PRO,75,Male,45-54,Finland,Google Ads,prd_1,2017-01-01 11:39:29,2021-09-05 10:00:02,2021,10,1707.0,75,22.5,Finland,183,3,True,True,1707.0
C2450,initial,2020-09-01,PRO,65,Male,55-65,Denmark,Organic Search,prd_1,2017-01-01 11:42:00,2019-01-13 16:24:55,2020,9,742.0,65,19.5,Denmark,174,2,True,True,742.0
C2450,UPGRADE,2021-03-01,MAX,109,Male,55-65,Denmark,Organic Search,prd_1,2017-01-01 11:42:00,2019-01-13 16:24:55,2021,3,742.0,109,32.699999999999996,Denmark,174,2,True,True,742.0
C2451,initial,2021-08-01,BASIC,43,Female,18-24,Sweden,Display,prd_2,2017-01-01 13:32:08,,2021,8,,43,12.9,Sweden,43,1,False,False,
C2452,initial,2022-08-01,PRO,85,Male,18-24,Denmark,Organic Search,prd_1,2017-01-01 13:57:30,2021-06-28 18:06:01,2022,8,1639.0,85,25.5,Denmark,85,1,False,True,1639.0
C2453,initial,2021-11-01,PRO,75,Female,55-65,Sweden,Google Ads,prd_1,2017-01-01 15:26:14,,2021,11,,75,22.5,Sweden,128,2,True,False,
C2453,REDUCTION,2022-02-01,BASIC,53,Female,55-65,Sweden,Google Ads,prd_1,2017-01-01 15:26:14,,2022,2,,53,15.899999999999999,Sweden,128,2,True,False,
C2454,initial,2021-03-01,PRO,75,Male,45-54,Finland,Organic Search,prd_1,2017-01-01 15:35:03,2021-06-01 17:09:40,2021,3,1612.0,75,22.5,Finland,150,2,True,True,1612.0
C2454,CHURN,2021-10-01,PRO,75,Male,45-54,Finland,Organic Search,prd_1,2017-01-01 15:35:03,2021-06-01 17:09:40,2021,10,1612.0,75,22.5,Finland,150,2,True,True,1612.0
C2455,initial,2020-08-01,MAX,99,Other,25-34,Finland,Organic Search,prd_1,2017-01-02 09:01:31,,2020,8,,99,29.7,Finland,152,2,True,False,
