customer_id,subscription_duration,revenue,profit,ltv,total_transactions,is_returning_customer,age,year,month,transaction_type_REDUCTION,transaction_type_UPGRADE,transaction_type_initial,subscription_type_MAX,subscription_type_PRO,customer_gender_Male,customer_gender_Other,customer_country_Finland,customer_country_Norway,customer_country_Sweden,referral_type_Display,referral_type_Google Ads,referral_type_Organic Search,referral_type_Paid Search,referral_type_TV,referral_type_Unknown,referral_type_facebook,product_prd_2,churn_status_True,status_Inactive
C5350,844.5,99,29.7,259.0,3,True,39,2020,1,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
C5398,844.5,65,19.5,130.0,2,True,60,2020,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
C5420,1486.0,99,29.7,239.0,3,True,39,2020,1,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
C5433,1663.0,99,29.7,175.0,3,True,49,2020,1,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
C5440,844.5,99,29.7,174.0,2,True,21,2020,1,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
C5447,583.0,33,9.9,152.0,2,True,49,2020,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
C5455,368.0,33,9.9,132.0,2,True,29,2020,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
C8637,844.5,65,19.5,140.0,2,True,29,2020,1,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
C10192,844.5,99,29.7,165.0,3,True,49,2020,1,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
C8610,844.5,65,19.5,108.0,2,True,21,2020,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
C8592,1167.0,33,9.9,98.0,2,True,60,2020,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
C5389,844.5,33,9.9,165.0,3,True,21,2020,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C5563,844.5,33,9.9,298.0,4,True,21,2020,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
C5616,62.0,33,9.9,142.0,2,True,49,2020,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
C8536,844.5,33,9.9,98.0,2,True,49,2020,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
C5680,844.5,65,19.5,229.0,3,True,60,2020,1,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
C2728,407.0,65,19.5,174.0,2,True,60,2020,1,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
C8451,844.5,99,29.7,132.0,2,True,49,2020,1,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
C5765,59.0,33,9.9,142.0,2,True,39,2020,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
C2718,844.5,99,29.7,164.0,2,True,39,2020,1,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
C8427,394.0,33,9.9,173.0,3,True,21,2020,1,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,False
C5861,844.5,65,19.5,130.0,2,True,21,2020,1,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
C8382,844.5,33,9.9,98.0,2,True,29,2020,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
C5572,844.5,33,9.9,118.0,2,True,29,2020,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
C5894,844.5,65,19.5,298.0,3,True,21,2020,1,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
C2783,844.5,33,9.9,152.0,2,True,21,2020,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
C5326,844.5,65,19.5,184.0,2,True,21,2020,1,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
C2853,844.5,65,19.5,184.0,2,True,49,2020,1,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
C8902,844.5,33,9.9,99.0,3,True,29,2020,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
C8887,1294.0,33,9.9,66.0,2,True,29,2020,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
C5016,92.0,33,9.9,66.0,2,True,21,2020,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
C8862,844.5,33,9.9,118.0,2,True,29,2020,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
C10153,844.5,65,19.5,108.0,2,True,21,2020,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
C5056,1622.0,65,19.5,130.0,2,True,21,2020,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
C8853,168.0,33,9.9,132.0,2,True,60,2020,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
C5093,844.5,33,9.9,66.0,2,True,60,2020,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
C8833,242.0,33,9.9,33.0,1,False,21,2020,1,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True
C5327,844.5,33,9.9,132.0,2,True,21,2020,1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
C5110,519.0,65,19.5,273.0,3,True,49,2020,1,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False
C8822,844.5,99,29.7,142.0,2,True,39,2020,1,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
C5182,844.5,65,19.5,130.0,2,True,21,2020,1,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
C5234,844.5,33,9.9,132.0,2,True,21,2020,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
C2805,137.0,33,9.9,132.0,2,True,49,2020,1,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
C5244,844.5,65,19.5,184.0,2,True,39,2020,1,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
C5250,1247.0,65,19.5,174.0,2,True,39,2020,1,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
C8747,879.0,65,19.5,174.0,2,True,49,2020,1,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
C5293,79.0,33,9.9,173.0,3,True,60,2020,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
C5300,844.5,99,29.7,142.0,2,True,49,2020,1,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
C5314,308.0,99,29.7,164.0,2,True,49,2020,1,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
C5126,844.5,99,29.7,185.0,3,True,29,2020,1,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
C10225,844.5,65,19.5,229.0,3,True,29,2020,1,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
C5904,844.5,33,9.9,152.0,2,True,39,2020,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
C5920,844.5,33,9.9,132.0,2,True,29,2020,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
C8176,844.5,33,9.9,152.0,2,True,21,2020,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
C10251,897.0,65,19.5,174.0,2,True,39,2020,1,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False
C10253,844.5,33,9.9,33.0,1,False,21,2020,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
C6312,844.5,99,29.7,174.0,2,True,60,2020,1,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
C6327,844.5,33,9.9,132.0,2,True,21,2020,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
C8143,1098.0,33,9.9,98.0,2,True,39,2020,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
C6348,790.0,99,29.7,164.0,2,True,21,2020,1,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
C6354,844.5,65,19.5,164.0,2,True,49,2020,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
C6367,536.0,65,19.5,130.0,2,True,29,2020,1,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
C10263,844.5,33,9.9,108.0,2,True,39,2020,1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
C6263,1682.0,33,9.9,142.0,2,True,39,2020,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
C8111,913.0,33,9.9,251.0,3,True,21,2020,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
C8090,844.5,33,9.9,298.0,4,True,60,2020,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
C6456,1675.0,99,29.7,195.0,3,True,21,2020,1,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
C10270,844.5,33,9.9,66.0,2,True,21,2020,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
C2606,844.5,65,19.5,184.0,2,True,39,2020,1,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
C8059,844.5,33,9.9,118.0,2,True,60,2020,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
C8051,844.5,65,19.5,184.0,2,True,49,2020,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
C8005,844.5,33,9.9,66.0,2,True,39,2020,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
C6623,844.5,65,19.5,298.0,3,True,60,2020,1,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
C6630,568.0,33,9.9,108.0,2,True,49,2020,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
C7988,201.0,65,19.5,130.0,2,True,39,2020,1,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False
C6406,1076.0,65,19.5,164.0,2,True,39,2020,1,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
C2645,243.0,65,19.5,229.0,3,True,49,2020,1,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
