customer_id,subscription_duration,revenue,profit,ltv,total_transactions,is_returning_customer,age,year,month,transaction_type_REDUCTION,transaction_type_UPGRADE,transaction_type_initial,subscription_type_MAX,subscription_type_PRO,customer_gender_Male,customer_gender_Other,customer_country_Finland,customer_country_Norway,customer_country_Sweden,referral_type_Display,referral_type_Google Ads,referral_type_Organic Search,referral_type_Paid Search,referral_type_TV,referral_type_Unknown,referral_type_facebook,product_prd_2,churn_status_True
C5350,844.5,99,29.7,259.0,3,True,39,2020,1,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
C5398,844.5,65,19.5,130.0,2,True,60,2020,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
C5420,1486.0,99,29.7,239.0,3,True,39,2020,1,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
C5433,1663.0,99,29.7,175.0,3,True,49,2020,1,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True
C5440,844.5,99,29.7,174.0,2,True,21,2020,1,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False
C5447,583.0,33,9.9,152.0,2,True,49,2020,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
C5455,368.0,33,9.9,132.0,2,True,29,2020,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
C8637,844.5,65,19.5,140.0,2,True,29,2020,1,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
C10192,844.5,99,29.7,165.0,3,True,49,2020,1,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
C8610,844.5,65,19.5,108.0,2,True,21,2020,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
C8592,1167.0,33,9.9,98.0,2,True,60,2020,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
C5389,844.5,33,9.9,165.0,3,True,21,2020,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C5563,844.5,33,9.9,298.0,4,True,21,2020,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
C5616,62.0,33,9.9,142.0,2,True,49,2020,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
C8536,844.5,33,9.9,98.0,2,True,49,2020,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
